Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP,Continent_Name
 Libya,6569864,0.085,17595412,6653210.0,$51.330 billion ,"$7,803",Africa
 Nicaragua,6393824,0.083,1303752,7.14,$13.380 billion ,"$2,126 ",North America
 Kyrgyzstan,6389500,0.083,1999512,3.6,$8.013 billion ,"$1,254 ",Asia
 Lebanon,6065922,0.079,104522,1.8,$59 billion ,"$12,992",Asia
 Turkmenistan,5942561,0.077,4912102,4.9,$42.764 billion,"$7,411",Asia
 Singapore,5638700,0.073,722,5638700.0,$349.659 billion ,"$61,766 ",Asia
 Republic of the Congo,5542197,0.07200000000000001,3420002,3.3,$9.210 billion,"$1,981",Africa
 Finland,5522018,0.07200000000000001,3384242,10.0,$277 billion,"$50,068",Europe
 Central African Republic,5496011,0.071,6229842,150.0,$2.003 billion,$401,Africa
 Slovakia,5450421,0.071,490352,0.0789,$112.333 billion ,"$20,598 ",Europe
 Norway,5328212,0.069,3852072,5.7,$443 billion ,"$82,711 ",Europe
 Eritrea,5309659,0.069,1176002,0.14,$7.720 billion ,"$1,253 ",Africa
 Costa Rica,5058007,0.066,511002,0.7,$63.948 billion,"$12,600",North America
 New Zealand,4958140,0.0644,2680212,1.6,$206 billion,"$41,616",Oceania
 Ireland,4857000,0.063,702732,2.0,$385 billion ,"$80,641 ",Europe
 Oman,4688571,0.061,3095002,0.0,$81.682 billion ,"$19,170 ",Asia
 Liberia,4475353,0.057999999999999996,1113692,13.514000000000001,$2.335 billion,$475,Africa
 Kuwait,4226920,0.055,178182,0.0,$118.271 billion ,"$28,199 ",Asia
 Panama,4218808,0.055,754172,2.9,$72.215 billion ,"$17,117 ",North America
 Croatia,4105493,0.053,565942,1.09,$61.586 billion ,"$15,137 ",Europe
 Mauritania,4077347,0.053,10300002,0.03,$5.200 billion ,"$1,309 ",Africa
 Georgia,3729600,0.048,697002,3729600.0,$17.836 billion ,"$4,805 ",Europe
 Uruguay,3518552,0.046,1762152,1.5,$60.231	 billion ,"$17,118 ",South America
 Bosnia and Herzegovina,3502550,0.045,511292,1.4,$20.720 billion,"$5,917",Europe
 Mongolia,3254373,0.042,15660002,0.67,$12.724 billion ,"$4,097 ",Asia
 Armenia,2969200,0.039,297432,4.71,$13.302 billion ,"$4,446 ",Europe
 Albania,2862427,0.037000000000000005,287482,4.7,$15.121 billion,"$5,261",Europe
 Lithuania,2790322,0.036000000000000004,653002,1.35,$54 billion ,"$19,748 ",Europe
 Qatar,2760586,0.036000000000000004,115812,0.8,$183.807 billion ,"$66,202 ",Asia
 Jamaica,2726667,0.035,109912,1.5,$15.424 billion ,"$5,393 ",North America
 Namibia,2458936,0.032,8256152,0.0,$14.148 billion,"$5,923",Africa
 Botswana,2338851,0.03,5817302,2.6,$19.268 billion,"$8,634",Africa
 The Gambia,2228075,0.028999999999999998,106892,11.5,$1.038 billion,$488,Africa
 Gabon,2109099,0.027000000000000003,2676672,3.76,$17.212 billion,"$8,384",Africa
 Slovenia,2076595,0.027000000000000003,202732,0.7,$56.920 billion ,"$27,506 ",Europe
 North Macedonia,2075301,0.027000000000000003,257132,1.9,$12.383 billion,"$6,143",Oceania
 Lesotho,2007201,0.026000000000000002,303552,0.0032,$2.721 billion,"$1,413",Africa
 Latvia,1916200,0.025,645892,1.57,$35.780 billion,"$18,458",Europe
 Kosovo,1798506,0.023,109082,1.0,$8.208 billion,"$4,491",Africa
 Guinea-Bissau,1604528,0.021,361252,22.4,$1.480 billion,$851,Africa
 Bahrain,1543300,0.02,778,0.0,$39.300 billion,"$26,531 ",Asia
 East Timor,1387149,0.018000000000000002,154102,0.0,$3.145 billion,"$2,422",North America
 Trinidad and Tobago,1359193,0.018000000000000002,51312,0.0,$22.438 billion,"$16,243",North America
