Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP
 Luxembourg,613894,0.008,2586,0.6,$77.436 billion ,"$125,364 "
 Suriname,573085,0.0074,1638212,1.1,$4.110 billion,"$6,881 "
 Cape Verde,550483,0.0071,40332,0,$2.042 billion,"$3,651 "
 Malta,475701,0.0062,3162,0.001,$14.270 billion,"$30,555 "
 Transnistria,469000,0.0061,41632,2.35,US$1.0 billion,"US$2,000"
 Brunei,421300,0.0055,57652,8.6,$14.695 billion ,"$33,824 "
 Belize,398050,0.0052,229662,0.8,$1.912 billion,"$4,906 "
 Bahamas,385340,0.005,138782,28,$9.529 billion,"$25,306 "
 Maldives,378114,0.0049,2982,427756,$4.825 billion,"$13,196 "
 Iceland,357050,0.0046,1027752,2.7,$27 billion,"$75,700 "
 Northern Cyprus,351965,0.0046,33552,2.7,$3.685 billion,"$12,702 "
 Vanuatu,304500,0.004,121892,270402,$957 million ,"$3,327 "
 Barbados,287010,0.0037,4392,0,$5.207 billion,"$18,133 "
 New Caledonia ,282200,0.0037,185762,182752,US$9.89 billion,"US$38,921"
 French Polynesia ,275918,0.0036,41672,12,US$5.623 billion ,"US$20,098 "
 Abkhazia,244832,0.0032,86602,243206,US$0.5 billion,"US$2,000"
 São Tomé and Príncipe,201784,0.0026,10012,0,$355 million,"$1,668 "
 Samoa,200874,0.0026,28422,0.3,$881 million,"$4,420 "
 Saint Lucia,180454,0.0023,6172,1.6,$1.774 billion,"$10,042 "
 Curaçao ,160012,0.0021,4442,160012,US$5.6 billion ,"US$36,165 "
 Kiribati,120100,0.0016,8112,110136,$187 million,"$1,599 "
 Aruba ,111849,0.0015,178,0,$2.875 billion,"$25,750 "
 Saint Vincent and the Grenadines,109803,0.0014,3892,0,$864 million,"$7,827 "
 Grenada,108825,0.0014,348,1.6,$1.249 billion,"$11,518 "
 Federated States of Micronesia,105300,0.0014,7022,0,$383 million,"$3,735 "
 Antigua and Barbuda,104084,0.0014,4402,0,$1.717 billion,"$18,416 "
 Tonga,100651,0.0013,7482,4,$493 million,"$4,888 "
 Seychelles,96762,0.0013,4592,0,$1.564 billion,"$16,332 "
 Andorra,74794,0.001,467,0.26,$3.249 billion ,"$36,987 "
 Dominica,74679,0.001,7502,1.6,$485 million,"$6,860 "
 Bermuda ,64027,0.00083,53,27,$5.853 billion ,"$94,400 "
 Cayman Islands ,63415,0.00082,2642,1.6,$3.480 billion ,"$58,808 "
 Saint Kitts and Nevis,56345,0.0007,2612,0,$1.058 billion,"$18,714 "
 Marshall Islands,55500,0.00072,181,,$220 million,"$3,866 "
 South Ossetia,53532,0.0007,39002,0,US$0.1 billion,"US$2,000"
 Liechtenstein,38380,0.0005,1602,2.7,$5.155 billion ,"$143,151 "
 Monaco,38300,0.0005,2,0,US$6.5 billion ,"US$168,000 "
 San Marino,33419,0.00043,61,0,$1.55 billion ,"$44,947 "
 Palau,17900,0.00023,4592,0,$321 million,"$17,438 "
 Wallis and Futuna ,11700,0.00015,142,0,US$188 million ,"US$12,640 "
 Nauru,11000,0.00014,212,0.57,$114 million,"$8,570 "
 Tuvalu,10200,0.00013,262,0,$32 million ,"$2,970 "
